old_url,new_url,http_status,path_changed,source,notes
https://sweet-home.co.il/,https://sweethome-immobilien.de/,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/en,https://sweethome-immobilien.de/en,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/about,https://sweethome-immobilien.de/about,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/contact,https://sweethome-immobilien.de/contact,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/properties,https://sweethome-immobilien.de/properties,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/projects,https://sweethome-immobilien.de/projects,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/blog,https://sweethome-immobilien.de/blog,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/wohnungen-berlin-kaufen,https://sweethome-immobilien.de/wohnungen-berlin-kaufen,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/wohnung-kaufen-moabit,https://sweethome-immobilien.de/wohnung-kaufen-moabit,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/immobilien-dubai-kaufen,https://sweethome-immobilien.de/immobilien-dubai-kaufen,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/immobilien-zypern-kaufen,https://sweethome-immobilien.de/immobilien-zypern-kaufen,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/en/properties-for-sale-berlin,https://sweethome-immobilien.de/en/properties-for-sale-berlin,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/en/properties-for-sale-dubai,https://sweethome-immobilien.de/en/properties-for-sale-dubai,301,no,phase4-sample,1:1 host swap; path+query preserved
https://sweet-home.co.il/en/properties-for-sale-cyprus,https://sweethome-immobilien.de/en/properties-for-sale-cyprus,301,no,phase4-sample,1:1 host swap; path+query preserved
